open_time,close,beta,residual,spread,zscore
2023-08-22 00:00:00+00:00,21.25,1.457822736119549,0.0017112576762913685,0.0017112576762913685,inf
2023-08-22 01:00:00+00:00,21.13,1.4576075508070678,-0.0033637367892189836,-0.001652479112927615,-15.024363602002532
2023-08-22 02:00:00+00:00,21.13,1.4586023223012918,-0.0008818612151358568,-0.0025343403280634717,-16.47149814235837
2023-08-22 03:00:00+00:00,21.07,1.4584295441604573,-0.0019568101131091933,-0.004491150441172665,-19.950256759305866
2023-08-22 04:00:00+00:00,21.0,1.4585948542693115,-0.0006403156008304143,-0.005131466042003079,-13.93354097320158
2023-08-22 05:00:00+00:00,21.0,1.4588437163473476,-0.001896692316461234,-0.007028158358464313,-14.167585641546571
2023-08-22 06:00:00+00:00,21.08,1.4581985480886381,0.0032285255715011,-0.0037996327869632136,-5.573802484545602
2023-08-22 07:00:00+00:00,21.17,1.458615493974724,0.001996543245406399,-0.0018030895415568145,-2.4075531838258515
2023-08-22 08:00:00+00:00,21.1,1.4593381986830192,-0.0007866380511077193,-0.0025897275926645338,-3.464629886890468
2023-08-22 09:00:00+00:00,21.12,1.4596184043707372,0.0012231125059461484,-0.0013666150867183854,-1.7034762760291875
2023-08-22 10:00:00+00:00,21.01,1.4596277181196387,-0.004986552607328361,-0.006353167694046747,-8.425870729678882
2023-08-22 11:00:00+00:00,20.97,1.4595563790264767,-0.0023819946446195805,-0.008735162338666327,-10.19949964063872
2023-08-22 12:00:00+00:00,20.99,1.459266898751822,0.001232284952034229,-0.007502877386632098,-7.261122830313579
2023-08-22 13:00:00+00:00,20.89,1.4592755086955358,-0.002965820866397722,-0.01046869825302982,-9.2110806522428
2023-08-22 14:00:00+00:00,20.78,1.45993068455329,-0.004567767862621076,-0.015036466115650895,-11.411077103259307
2023-08-22 15:00:00+00:00,20.71,1.4601862374219476,-7.844139044139e-05,-0.015114907506092285,-9.198241663621676
2023-08-22 16:00:00+00:00,20.72,1.460247089905088,-0.003420824106932718,-0.018535731613025002,-9.705050955875215
2023-08-22 17:00:00+00:00,20.16,1.4581037934309538,-0.017553508316319414,-0.036089239929344416,-16.143840956729044
2023-08-22 18:00:00+00:00,20.26,1.4822161515597925,0.0004129730200575308,-0.03567626690928689,-11.00186744262765
2023-08-22 19:00:00+00:00,20.08,1.482482404050482,-0.0009006147742159354,-0.03657688168350282,-9.163076256009827
2023-08-22 20:00:00+00:00,20.17,1.4834840683346895,-0.0006936980831245007,-0.03727057976662732,-8.006626158824389
2023-08-22 21:00:00+00:00,19.92,1.482926871649999,-0.0014883204367847416,-0.038758900203412064,-7.3742660408563045
2023-08-22 22:00:00+00:00,20.38,1.4851563588696672,0.015556084547536462,-0.023202815655875602,-3.8822270888535875
2023-08-22 23:00:00+00:00,20.59,1.5014905470358482,-0.004503163565805246,-0.027705979221680846,-4.521411023323997
2023-08-23 00:00:00+00:00,20.56,1.4923036056297616,-0.0005425426800196864,-0.028248521901700532,-4.411115956512418
2023-08-23 01:00:00+00:00,20.65,1.4923498525757615,0.003581191333083854,-0.02466733056861668,-3.6575832549204885
2023-08-23 02:00:00+00:00,20.66,1.4928796992368052,0.0006509030423870374,-0.024016427526229643,-3.444088220637554
2023-08-23 03:00:00+00:00,20.62,1.4928926981184403,0.00034638377705370786,-0.023670043749175935,-3.295347229878098
2023-08-23 04:00:00+00:00,20.61,1.4928156710884197,-0.0032786995356815915,-0.026948743284857527,-3.6916565565725934
2023-08-23 05:00:00+00:00,20.51,1.491421317505582,-0.004412185285800006,-0.03136092857065753,-4.20726282277821
2023-08-23 06:00:00+00:00,20.8,1.4914965796755952,0.013806266912859117,-0.017554661657798412,-2.1351325388500464
2023-08-23 07:00:00+00:00,20.78,1.492530021213387,-0.000680137145940499,-0.018234798803738912,-2.198632085142291
2023-08-23 08:00:00+00:00,20.74,1.492525709341661,-0.0007724222671717435,-0.019007221070910657,-2.2716632498791056
2023-08-23 09:00:00+00:00,20.85,1.4926184662552775,0.00462128105445061,-0.014385940016460047,-1.617421910749539
2023-08-23 10:00:00+00:00,20.81,1.4932260232581718,0.0021868801575153224,-0.012199059858944724,-1.3091292635514336
