,Strategy(Net),EW B&H (No-Rebal),BTC B&H
Annualized_Return,1.7362,0.6338,0.9695
Sharpe,4.3971,0.8068,1.9894
Max_Drawdown,-0.3475,-0.6165,-0.3203
MAR,4.9968,1.028,3.0265
Monthly_Win_Rate,0.7727,0.5,0.6818
Bars,15519.0,15519.0,15519.0
