Split,Annualized Return,Annualized Vol,Sharpe,Max Drawdown,MAR,Win Rate (Monthly),N Days
train,1.518888,0.561115,1.649418,-0.283478,5.358043,0.428571,106
test,0.790795,0.347746,1.677471,-0.098370,8.038962,0.666667,51
full,1.254766,0.500779,1.626185,-0.283478,4.426324,0.555556,157
