timestamp,equity,pnl
2026-01-14 06:28:00+00:00,1.0,0.0
2026-01-14 06:29:00+00:00,1.0,0.0
2026-01-14 06:30:00+00:00,1.0,-0.0
2026-01-14 06:31:00+00:00,1.0,-0.0
2026-01-14 06:32:00+00:00,1.0,-0.0
2026-01-14 06:33:00+00:00,1.0,-0.0
2026-01-14 06:34:00+00:00,1.0,-0.0
2026-01-14 06:35:00+00:00,1.0,-0.0
2026-01-14 06:36:00+00:00,1.0,0.0
2026-01-14 06:37:00+00:00,1.0,0.0
2026-01-14 06:38:00+00:00,1.0,0.0
2026-01-14 06:39:00+00:00,1.0,-0.0
2026-01-14 06:40:00+00:00,1.0,0.0
2026-01-14 06:41:00+00:00,1.0,-0.0
2026-01-14 06:42:00+00:00,1.0,0.0
2026-01-14 06:43:00+00:00,1.0,0.0
2026-01-14 06:44:00+00:00,1.0,-0.0
2026-01-14 06:45:00+00:00,1.0,0.0
2026-01-14 06:46:00+00:00,1.0,0.0
2026-01-14 06:47:00+00:00,1.0,0.0
2026-01-14 06:48:00+00:00,1.0,-0.0
2026-01-14 06:49:00+00:00,1.0,-0.0
2026-01-14 06:50:00+00:00,1.0,0.0
2026-01-14 06:51:00+00:00,1.0,-0.0
2026-01-14 06:52:00+00:00,1.0,0.0
2026-01-14 06:53:00+00:00,1.0,0.0
2026-01-14 06:54:00+00:00,1.0,-0.0
2026-01-14 06:55:00+00:00,1.0,0.0
2026-01-14 06:56:00+00:00,1.0,0.0
2026-01-14 06:57:00+00:00,1.0,-0.0
2026-01-14 06:58:00+00:00,1.0,0.0
2026-01-14 06:59:00+00:00,1.0,-0.0
2026-01-14 07:00:00+00:00,1.0,-0.0
2026-01-14 07:01:00+00:00,1.0,-0.0
2026-01-14 07:02:00+00:00,1.0,-0.0
2026-01-14 07:03:00+00:00,1.0,-0.0
2026-01-14 07:04:00+00:00,1.0,0.0
2026-01-14 07:05:00+00:00,1.0,0.0
2026-01-14 07:06:00+00:00,1.0,0.0
2026-01-14 07:07:00+00:00,1.0,0.0
2026-01-14 07:08:00+00:00,1.0,0.0
2026-01-14 07:09:00+00:00,1.0,0.0
2026-01-14 07:10:00+00:00,1.0,-0.0
2026-01-14 07:11:00+00:00,1.0,0.0
2026-01-14 07:12:00+00:00,1.0,-0.0
2026-01-14 07:13:00+00:00,1.0,0.0
2026-01-14 07:14:00+00:00,1.0,-0.0
2026-01-14 07:15:00+00:00,1.0,0.0
2026-01-14 07:16:00+00:00,1.0,0.0
2026-01-14 07:17:00+00:00,1.0,-0.0
2026-01-14 07:18:00+00:00,1.0,-0.0
2026-01-14 07:19:00+00:00,1.0,0.0
2026-01-14 07:20:00+00:00,1.0,-0.0
2026-01-14 07:21:00+00:00,1.0,0.0
2026-01-14 07:22:00+00:00,1.0,-0.0
2026-01-14 07:23:00+00:00,1.0,0.0
2026-01-14 07:24:00+00:00,1.0,0.0
2026-01-14 07:25:00+00:00,1.0,-0.0
2026-01-14 07:26:00+00:00,1.0,-0.0
2026-01-14 07:27:00+00:00,1.0,-0.0
2026-01-14 07:28:00+00:00,1.0,-0.0
2026-01-14 07:29:00+00:00,1.0,0.0
2026-01-14 07:30:00+00:00,1.0,-0.0
2026-01-14 07:31:00+00:00,1.0,-0.0
2026-01-14 07:32:00+00:00,1.0,0.0
2026-01-14 07:33:00+00:00,1.0,0.0
2026-01-14 07:34:00+00:00,1.0,0.0
2026-01-14 07:35:00+00:00,1.0,-0.0
2026-01-14 07:36:00+00:00,1.0,0.0
2026-01-14 07:37:00+00:00,1.0,-0.0
2026-01-14 07:38:00+00:00,1.0,-0.0
2026-01-14 07:39:00+00:00,1.0,-0.0
2026-01-14 07:40:00+00:00,1.0,-0.0
2026-01-14 07:41:00+00:00,1.0,0.0
2026-01-14 07:42:00+00:00,1.0,0.0
2026-01-14 07:43:00+00:00,1.0,0.0
2026-01-14 07:44:00+00:00,1.0,-0.0
2026-01-14 07:45:00+00:00,1.0,0.0
2026-01-14 07:46:00+00:00,1.0,0.0
2026-01-14 07:47:00+00:00,1.0,0.0
2026-01-14 07:48:00+00:00,1.0,0.0
2026-01-14 07:49:00+00:00,1.0,0.0
2026-01-14 07:50:00+00:00,1.0,-0.0
2026-01-14 07:51:00+00:00,1.0,-0.0
2026-01-14 07:52:00+00:00,1.0,0.0
2026-01-14 07:53:00+00:00,1.0,0.0
2026-01-14 07:54:00+00:00,1.0,0.0
2026-01-14 07:55:00+00:00,1.0,-0.0
2026-01-14 07:56:00+00:00,1.0,-0.0
2026-01-14 07:57:00+00:00,1.0,0.0
2026-01-14 07:58:00+00:00,1.0,-0.0
2026-01-14 07:59:00+00:00,1.0,-0.0
2026-01-14 08:00:00+00:00,1.0,0.0
2026-01-14 08:01:00+00:00,1.0,-0.0
2026-01-14 08:02:00+00:00,1.0,0.0
2026-01-14 08:03:00+00:00,1.0,0.0
2026-01-14 08:04:00+00:00,1.0,-0.0
2026-01-14 08:05:00+00:00,1.0,-0.0
2026-01-14 08:06:00+00:00,1.0,0.0
2026-01-14 08:07:00+00:00,1.0,0.0
2026-01-14 08:08:00+00:00,1.0,-0.0
2026-01-14 08:09:00+00:00,1.0,-0.0
2026-01-14 08:10:00+00:00,1.0,0.0
2026-01-14 08:11:00+00:00,1.0,-0.0
2026-01-14 08:12:00+00:00,1.0,0.0
2026-01-14 08:13:00+00:00,1.0,0.0
2026-01-14 08:14:00+00:00,1.0,0.0
2026-01-14 08:15:00+00:00,1.0,-0.0
2026-01-14 08:16:00+00:00,1.0,0.0
2026-01-14 08:17:00+00:00,1.0,-0.0
2026-01-14 08:18:00+00:00,1.0,-0.0
2026-01-14 08:19:00+00:00,1.0,-0.0
2026-01-14 08:20:00+00:00,1.0,0.0
2026-01-14 08:21:00+00:00,1.0,0.0
2026-01-14 08:22:00+00:00,1.0,-0.0
2026-01-14 08:23:00+00:00,1.0,0.0
2026-01-14 08:24:00+00:00,1.0,-0.0
2026-01-14 08:25:00+00:00,1.0,-0.0
2026-01-14 08:26:00+00:00,1.0,-0.0
2026-01-14 08:27:00+00:00,1.0,-0.0
2026-01-14 08:28:00+00:00,1.0,-0.0
2026-01-14 08:29:00+00:00,1.0,0.0
2026-01-14 08:30:00+00:00,1.0,-0.0
2026-01-14 08:31:00+00:00,1.0,0.0
2026-01-14 08:32:00+00:00,1.0,0.0
2026-01-14 08:33:00+00:00,1.0,-0.0
2026-01-14 08:34:00+00:00,1.0,0.0
2026-01-14 08:35:00+00:00,1.0,0.0
2026-01-14 08:36:00+00:00,1.0,-0.0
2026-01-14 08:37:00+00:00,1.0,-0.0
2026-01-14 08:38:00+00:00,1.0,0.0
2026-01-14 08:39:00+00:00,1.0,0.0
2026-01-14 08:40:00+00:00,1.0,-0.0
2026-01-14 08:41:00+00:00,1.0,0.0
2026-01-14 08:42:00+00:00,1.0,-0.0
2026-01-14 08:43:00+00:00,1.0,-0.0
2026-01-14 08:44:00+00:00,1.0,0.0
2026-01-14 08:45:00+00:00,1.0,0.0
2026-01-14 08:46:00+00:00,1.0,0.0
2026-01-14 08:47:00+00:00,1.0,-0.0
2026-01-14 08:48:00+00:00,1.0,-0.0
2026-01-14 08:49:00+00:00,1.0,-0.0
2026-01-14 08:50:00+00:00,1.0,-0.0
2026-01-14 08:51:00+00:00,1.0,0.0
2026-01-14 08:52:00+00:00,1.0,-0.0
2026-01-14 08:53:00+00:00,1.0,0.0
