timestamp,equity
2026-01-14 06:28:00+00:00,1.000018686535302
2026-01-14 06:56:00+00:00,1.0001383796132768
2026-01-14 09:52:00+00:00,1.000110027053452
2026-01-14 11:19:00+00:00,1.00016412883315
2026-01-14 14:11:00+00:00,1.000138059957225
2026-01-14 15:39:00+00:00,1.0000916045269719
2026-01-14 16:22:00+00:00,1.0000724926859226
2026-01-14 16:55:00+00:00,1.0002102113369749
2026-01-14 19:31:00+00:00,1.0001922903402019
2026-01-14 21:12:00+00:00,1.0003295909382743
2026-01-14 22:56:00+00:00,1.0003095969911315
2026-01-15 00:14:00+00:00,1.0003854895138735
2026-01-15 03:41:00+00:00,1.000364891851517
2026-01-15 04:17:00+00:00,1.0004625728584022
2026-01-15 14:35:00+00:00,1.000438229479938
2026-01-15 15:38:00+00:00,1.0005642773917243
2026-01-15 16:08:00+00:00,1.0005339354255345
2026-01-15 18:10:00+00:00,1.0007315482971617
2026-01-15 19:25:00+00:00,1.00070198913876
2026-01-15 22:17:00+00:00,1.0007816754737617
2026-01-16 00:06:00+00:00,1.0007596203103732
2026-01-16 03:31:00+00:00,1.000792940811719
2026-01-16 15:29:00+00:00,1.0007692095330722
2026-01-16 16:28:00+00:00,1.0009257657739659
2026-01-16 20:59:00+00:00,1.000889819717873
2026-01-16 21:29:00+00:00,1.0010743197028151
