,Strategy(Net),EW B&H (No-Rebal),BTC B&H
Annualized_Return,2.1079,0.6246,0.9695
Sharpe,5.3488,0.7905,1.9894
Max_Drawdown,-0.3475,-0.6236,-0.3203
MAR,6.0665,1.0016,3.0265
Monthly_Win_Rate,0.7727,0.5,0.6818
Bars,15519.0,15519.0,15519.0
