timestamp,type,side
2025-01-15 13:00:00,exit,-1
2025-01-15 13:45:00,entry,1
2025-01-17 09:30:00,exit,-1
2025-01-17 09:45:00,entry,1
2025-01-17 13:00:00,exit,1
2025-01-17 13:15:00,entry,1
2025-01-20 13:00:00,exit,1
2025-01-20 13:45:00,entry,-1
2025-01-21 09:30:00,exit,-1
2025-01-21 09:45:00,entry,-1
2025-01-21 13:00:00,exit,-1
2025-01-21 13:45:00,entry,-1
2025-01-23 13:00:00,exit,1
2025-01-24 09:30:00,entry,-1
2025-01-24 13:00:00,exit,-1
2025-01-24 13:15:00,entry,-1
2025-01-27 09:30:00,exit,-1
2025-01-27 09:45:00,entry,-1
2025-02-05 13:00:00,exit,-1
2025-02-05 14:30:00,entry,-1
2025-02-06 09:30:00,exit,-1
2025-02-06 10:30:00,entry,1
2025-02-06 13:00:00,exit,1
2025-02-07 09:45:00,entry,1
2025-02-07 13:00:00,exit,1
2025-02-07 13:15:00,entry,1
2025-02-10 09:30:00,exit,1
2025-02-10 13:45:00,entry,-1
2025-02-11 13:00:00,exit,-1
2025-02-12 09:30:00,entry,1
2025-02-13 13:00:00,exit,1
2025-02-13 13:30:00,entry,1
2025-02-14 09:30:00,exit,1
2025-02-14 10:15:00,entry,-1
2025-02-18 13:00:00,exit,-1
2025-02-18 14:15:00,entry,-1
2025-02-19 13:00:00,exit,-1
2025-02-19 13:45:00,entry,1
2025-02-20 09:30:00,exit,1
2025-02-20 10:15:00,entry,-1
2025-02-25 13:00:00,exit,-1
2025-02-25 14:15:00,entry,-1
2025-02-26 09:30:00,exit,-1
2025-02-26 10:15:00,entry,-1
2025-02-26 13:00:00,exit,-1
2025-02-26 14:00:00,entry,1
2025-02-27 13:00:00,exit,1
2025-02-27 13:15:00,entry,1
2025-02-28 13:00:00,exit,1
2025-02-28 13:15:00,entry,-1
2025-03-03 09:30:00,exit,-1
2025-03-03 09:45:00,entry,-1
2025-03-03 13:00:00,exit,-1
2025-03-03 13:15:00,entry,-1
2025-03-04 13:00:00,exit,-1
2025-03-05 09:30:00,entry,-1
2025-03-05 13:00:00,exit,-1
2025-03-05 13:45:00,entry,1
2025-03-06 13:00:00,exit,1
2025-03-06 13:45:00,entry,1
2025-03-10 13:00:00,exit,-1
2025-03-10 14:30:00,entry,1
2025-03-11 09:30:00,exit,1
2025-03-11 10:00:00,entry,1
2025-03-11 13:00:00,exit,1
2025-03-11 14:00:00,entry,1
2025-03-12 09:30:00,exit,1
2025-03-12 13:15:00,entry,1
2025-03-13 09:30:00,exit,1
2025-03-13 09:45:00,entry,1
2025-03-17 13:00:00,exit,1
2025-03-17 13:45:00,entry,-1
2025-03-18 09:30:00,exit,-1
2025-03-18 10:00:00,entry,-1
2025-03-18 13:00:00,exit,-1
2025-03-19 09:45:00,entry,1
2025-03-20 13:00:00,exit,-1
2025-03-20 14:15:00,entry,-1
2025-03-21 09:30:00,exit,-1
2025-03-21 10:00:00,entry,-1
2025-03-24 13:00:00,exit,-1
2025-03-24 13:15:00,entry,1
2025-03-25 09:30:00,exit,1
2025-03-25 09:45:00,entry,-1
2025-03-25 13:00:00,exit,-1
2025-03-26 09:30:00,entry,1
2025-03-26 13:00:00,exit,1
2025-03-26 13:30:00,entry,-1
2025-03-27 09:30:00,exit,-1
2025-03-27 09:45:00,entry,1
2025-03-27 13:00:00,exit,1
2025-03-28 09:30:00,entry,-1
2025-03-28 13:00:00,exit,-1
2025-03-28 13:30:00,entry,1
2025-03-31 09:30:00,exit,1
2025-03-31 10:30:00,entry,-1
2025-03-31 13:00:00,exit,-1
2025-03-31 13:45:00,entry,-1
2025-04-01 09:30:00,exit,-1
2025-04-01 10:30:00,entry,-1
2025-04-02 13:00:00,exit,-1
2025-04-02 13:30:00,entry,-1
2025-04-03 13:00:00,exit,1
2025-04-03 14:30:00,entry,1
2025-04-07 13:00:00,exit,-1
2025-04-07 13:45:00,entry,-1
2025-04-08 09:30:00,exit,-1
2025-04-08 11:15:00,entry,1
2025-04-08 13:00:00,exit,1
2025-04-08 14:15:00,entry,1
2025-04-09 09:30:00,exit,1
2025-04-09 10:45:00,entry,1
2025-04-09 13:00:00,exit,1
2025-04-10 10:15:00,entry,1
2025-04-10 13:00:00,exit,1
2025-04-10 14:00:00,entry,1
2025-04-11 13:00:00,exit,1
2025-04-11 14:45:00,entry,1
2025-04-14 13:00:00,exit,-1
2025-04-14 13:30:00,entry,-1
2025-04-15 09:30:00,exit,-1
2025-04-15 09:45:00,entry,-1
2025-04-16 13:00:00,exit,-1
2025-04-16 14:15:00,entry,1
2025-04-17 09:30:00,exit,1
2025-04-17 13:15:00,entry,1
2025-04-18 09:30:00,exit,1
2025-04-18 10:30:00,entry,-1
2025-04-21 09:30:00,exit,-1
2025-04-21 10:00:00,entry,-1
2025-04-21 13:00:00,exit,-1
2025-04-21 13:30:00,entry,-1
2025-04-24 13:00:00,exit,1
2025-04-24 15:00:00,entry,-1
2025-04-25 13:00:00,exit,1
2025-04-25 13:15:00,entry,-1
2025-04-28 13:00:00,exit,-1
2025-04-28 13:30:00,entry,-1
2025-04-30 13:00:00,exit,1
2025-04-30 13:15:00,entry,-1
2025-05-06 13:00:00,exit,-1
2025-05-06 13:45:00,entry,-1
2025-05-07 13:00:00,exit,1
2025-05-07 14:00:00,entry,1
2025-05-08 13:00:00,exit,1
2025-05-09 09:45:00,entry,1
2025-05-12 13:00:00,exit,1
2025-05-12 13:15:00,entry,-1
2025-05-13 13:00:00,exit,-1
2025-05-13 13:30:00,entry,1
2025-05-15 09:30:00,exit,1
2025-05-15 15:00:00,entry,-1
2025-05-16 13:00:00,exit,-1
2025-05-16 13:15:00,entry,-1
2025-05-21 13:00:00,exit,1
2025-05-21 13:30:00,entry,-1
2025-05-22 13:00:00,exit,-1
2025-05-23 09:45:00,entry,-1
