timestamp,ETCUSDT,APTUSDT,ARBUSDT,BTC_USDT
2025-11-29 04:15:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 04:30:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 04:45:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 05:00:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 05:15:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 05:45:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 06:00:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 06:15:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 06:30:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 07:00:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 07:15:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 07:30:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 07:45:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 08:00:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 08:15:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 08:30:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 08:45:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 10:00:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 10:15:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 10:30:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 10:45:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 11:00:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 11:15:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 12:00:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 12:30:00,0.000000,0.000000,0.000000,-0.000000
2025-11-29 12:45:00,0.000000,0.216000,0.000000,-0.426446
2025-11-29 13:00:00,0.000000,0.216000,0.000000,-0.426573
2025-11-29 13:15:00,0.000000,0.216000,0.000000,-0.426703
2025-11-29 13:30:00,0.000000,0.216000,0.000000,-0.426831
