open_time,strategy_net,strategy_gross,turnover,costs,ew_bh
2023-08-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-01 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-01 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-02 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-02 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-02 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-02 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-02 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-03 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-03 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-03 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-03 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-03 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-08-04 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0013741697927735982
2023-08-04 08:00:00+00:00,0.0,0.0,0.0,0.0,-0.00019841323250781306
2023-08-04 12:00:00+00:00,0.0,0.0,0.0,0.0,0.007649868498132192
2023-08-04 16:00:00+00:00,0.0,0.0,0.0,0.0,-0.013118679471248056
2023-08-04 20:00:00+00:00,0.0,0.0,0.0,0.0,-0.0025425939284203433
2023-08-05 00:00:00+00:00,0.0,0.0,0.0,0.0,-0.0007932425245822383
2023-08-05 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0017350216983518657
2023-08-05 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0013477948871449333
2023-08-05 12:00:00+00:00,0.0,0.0,0.0,0.0,-0.002831932158662176
2023-08-05 16:00:00+00:00,0.0,0.0,0.0,0.0,0.004432655439918887
2023-08-05 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0023975205275695854
2023-08-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0041782410254226215
2023-08-06 04:00:00+00:00,0.0,0.0,0.0,0.0,3.737828540575916e-05
2023-08-06 08:00:00+00:00,0.0,0.0,0.0,0.0,-0.00140700936824098
2023-08-06 12:00:00+00:00,0.0,0.0,0.0,0.0,-0.005788505236651725
2023-08-06 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0006876779343414977
2023-08-06 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0008057519614942804
2023-08-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.008180380529377626
2023-08-07 04:00:00+00:00,0.0,0.0,0.0,0.0,-0.00664609232041035
2023-08-07 08:00:00+00:00,0.0,0.0,0.0,0.0,0.002803485642459816
2023-08-07 12:00:00+00:00,0.0,0.0,0.0,0.0,-0.014112513105948216
2023-08-07 16:00:00+00:00,0.0,0.0,0.0,0.0,-0.0006649341521863458
2023-08-07 20:00:00+00:00,0.0,0.0,0.0,0.0,0.00792555037939624
2023-08-08 00:00:00+00:00,0.0,0.0,0.0,0.0,-0.0008116508705318382
2023-08-08 04:00:00+00:00,0.0,0.0,0.0,0.0,0.004202184161762226
2023-08-08 08:00:00+00:00,0.0,0.0,0.0,0.0,0.004623035274173605
2023-08-08 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0034651804284354243
2023-08-08 16:00:00+00:00,0.0,0.0,0.0,0.0,0.007774213814074227
2023-08-08 20:00:00+00:00,0.0,0.0,0.0,0.0,-0.0011749281712043827
2023-08-09 00:00:00+00:00,0.0,0.0,0.0,0.0,-0.0013577396404646988
2023-08-09 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0058849797155153885
2023-08-09 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0011095469970262076
2023-08-09 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0024518828215903607
2023-08-09 16:00:00+00:00,0.0,0.0,0.0,0.0,-0.007266598624500055
2023-08-09 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0014964752472701598
2023-08-10 00:00:00+00:00,0.0,0.0,0.0,0.0,-0.00017868002363101432
2023-08-10 04:00:00+00:00,0.0,0.0,0.0,0.0,-0.0037889871892697186
2023-08-10 08:00:00+00:00,0.0,0.0,0.0,0.0,-0.00034506555585805954
2023-08-10 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0025621377928252975
2023-08-10 16:00:00+00:00,0.0,0.0,0.0,0.0,-0.00211477108096296
2023-08-10 20:00:00+00:00,0.0,0.0,0.0,0.0,-0.0017201164669686936
2023-08-11 00:00:00+00:00,0.0,0.0,0.0,0.0,-0.0008041468399352519
2023-08-11 04:00:00+00:00,0.0,0.0,0.0,0.0,-0.001476667385637058
2023-08-11 08:00:00+00:00,0.0,0.0,0.0,0.0,-0.0009627234231519774
2023-08-11 12:00:00+00:00,0.0,0.0,0.0,0.0,-0.0031836718665228247
2023-08-11 16:00:00+00:00,0.0,0.0,0.0,0.0,-0.0013484936949543086
2023-08-11 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0016905174799977385
2023-08-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0008443237359803263
2023-08-12 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0006772974015437846
2023-08-12 08:00:00+00:00,0.0,0.0,0.0,0.0,0.002894056954667719
2023-08-12 12:00:00+00:00,0.0,0.0,0.0,0.0,-0.0015382464927632886
2023-08-12 16:00:00+00:00,0.0,0.0,0.0,0.0,-0.00027577876676637
2023-08-12 20:00:00+00:00,0.0,0.0,0.0,0.0,-0.001120099543298017
2023-08-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0023424592556867824
2023-08-13 04:00:00+00:00,0.0,0.0,0.0,0.0,-0.0022856021839796695
2023-08-13 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0007755888179057924
2023-08-13 12:00:00+00:00,0.0,0.0,0.0,0.0,-0.002318225381744289
2023-08-13 16:00:00+00:00,0.0,0.0,0.0,0.0,0.006980224170269042
2023-08-13 20:00:00+00:00,0.0,0.0,0.0,0.0,-0.012173436217925972
2023-08-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.002349495014685267
2023-08-14 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0028395189610093755
2023-08-14 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0027957206146308894
2023-08-14 12:00:00+00:00,0.0,0.0,0.0,0.0,0.002763789747395079
2023-08-14 16:00:00+00:00,0.0,0.0,0.0,0.0,-0.010020393864347187
2023-08-14 20:00:00+00:00,0.0,0.0,0.0,0.0,0.001519232704505713
2023-08-15 00:00:00+00:00,0.0,0.0,0.0,0.0,-0.0013037232833155998
2023-08-15 04:00:00+00:00,0.0,0.0,0.0,0.0,-0.0038373777402449585
2023-08-15 08:00:00+00:00,0.0,0.0,0.0,0.0,-0.0018148644019836263
2023-08-15 12:00:00+00:00,0.0,0.0,0.0,0.0,-0.0022208962244454344
2023-08-15 16:00:00+00:00,0.0,0.0,0.0,0.0,-0.033376877817018986
2023-08-15 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0037029946651163173
2023-08-16 00:00:00+00:00,0.0,0.0,0.0,0.0,-0.002609428082361004
2023-08-16 04:00:00+00:00,0.0,0.0,0.0,0.0,-0.006878701624294957
2023-08-16 08:00:00+00:00,0.0,0.0,0.0,0.0,-0.0037585734664243864
2023-08-16 12:00:00+00:00,0.0,0.0,0.0,0.0,-0.01140030861306799
2023-08-16 16:00:00+00:00,0.0,0.0,0.0,0.0,0.001145459286774897
2023-08-16 20:00:00+00:00,0.0,0.0,0.0,0.0,-0.013232757261044593
2023-08-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0053900185437333326
2023-08-17 04:00:00+00:00,0.0,0.0,0.0,0.0,-0.0004054901339483469
2023-08-17 08:00:00+00:00,0.0,0.0,0.0,0.0,-0.002458808992289417
2023-08-17 12:00:00+00:00,0.0,0.0,0.0,0.0,-0.02210286316339049
2023-08-17 16:00:00+00:00,8.659209569260578e-05,0.00038659209569260575,1.0,0.0003,0.010375786112538615
2023-08-17 20:00:00+00:00,0.0005678103226729631,0.0010654549575568844,1.6588154496130714,0.0004976446348839214,-0.06545602234998597
2023-08-18 00:00:00+00:00,0.0044074017066073855,0.004906919248876144,1.6650584742291943,0.0004995175422687582,0.0011509193395895928
2023-08-18 04:00:00+00:00,0.003207725921030792,0.0037269210837749906,1.7306505424806624,0.0005191951627441987,0.02019954861274241
2023-08-18 08:00:00+00:00,0.002130945255600853,0.00260476063987036,1.5793846142316905,0.0004738153842695071,0.0038211161833547544
2023-08-18 12:00:00+00:00,-0.0012512204378349726,-0.000774210359031853,1.5900335960103993,0.0004770100788031197,-0.010172480356940523
2023-08-18 16:00:00+00:00,0.0003701425018317398,0.0007562815829064036,1.2871302702488796,0.0003861390810746638,-0.0006680713098427687
2023-08-18 20:00:00+00:00,0.003468996405333588,0.00382271866058037,1.1790741841559402,0.00035372225524678204,0.003515750468684485
2023-08-19 00:00:00+00:00,0.0010577345486966444,0.001568369391817606,1.7021161437365389,0.0005106348431209617,-0.00034660841620303556
2023-08-19 04:00:00+00:00,-0.0027340960531741414,-0.0022820026005619743,1.5069781753738911,0.0004520934526121673,0.00020938510631268725
2023-08-19 08:00:00+00:00,0.0036972798076472394,0.004099206580484625,1.3397559094579514,0.0004019267728373854,0.003362768588844517
2023-08-19 12:00:00+00:00,0.0001937871222603357,0.0006908456405806347,1.65686172773433,0.000497058518320299,0.011940410288915349
2023-08-19 16:00:00+00:00,0.0018495464454516746,0.0023170592357103547,1.5583759675289337,0.00046751279025868006,-0.0018822032667905123
2023-08-19 20:00:00+00:00,0.0001721247005309045,0.0006691094632046963,1.6566158755793061,0.0004969847626737918,-0.0016647158891024347
2023-08-20 00:00:00+00:00,-0.00047413997904995644,1.9264225744736608e-05,1.644680682648977,0.000493404204794693,-2.659832564409076e-05
2023-08-20 04:00:00+00:00,0.002016318927907622,0.0024457068672105167,1.43129313100965,0.00042938793930289495,-0.0022217010304699455
2023-08-20 08:00:00+00:00,-0.00886884433533849,-0.008437542445665892,1.4376729655753262,0.00043130188967259784,0.008104000387441052
2023-08-20 12:00:00+00:00,0.0016557220791092195,0.00202374099163538,1.2267297084205357,0.0003680189125261607,-0.005126545638360451
2023-08-20 16:00:00+00:00,-0.0010143950382907776,-0.0005371061782748885,1.59096286671963,0.000477288860015889,0.003432992125554639
2023-08-20 20:00:00+00:00,0.0005882017351698073,0.0009317993388376093,1.1453253455593402,0.000343597603667802,0.0033997797349643727
2023-08-21 00:00:00+00:00,0.0066345542298174584,0.007055617310330389,1.4035436017097698,0.0004210630805129309,-0.0062593175202459855
2023-08-21 04:00:00+00:00,0.00021276223135966766,0.0006827175089796787,1.5665175920667036,0.00046995527762001105,-0.005350782611691675
2023-08-21 08:00:00+00:00,-0.00025118276483373505,0.00023482189390630712,1.6200155291334741,0.0004860046587400422,-0.004169935098616885
2023-08-21 12:00:00+00:00,0.0016877641839980106,0.00214395474204493,1.5206351934897309,0.0004561905580469192,-0.013676011658070884
2023-08-21 16:00:00+00:00,0.02328776102413902,0.02374172305921526,1.513206783587465,0.00045396203507623947,0.013278304972562861
2023-08-21 20:00:00+00:00,0.0022459836557916337,0.002804363733601485,1.861266926032838,0.0005583800778098514,-0.0017562494906312731
2023-08-22 00:00:00+00:00,0.002742758276819156,0.0032575705211086857,1.7160408142984334,0.0005148122442895299,-0.006969953510823003
2023-08-22 04:00:00+00:00,0.008709850209580431,0.009172053596395497,1.540677956050219,0.00046220338681506566,0.002574382722937113
2023-08-22 08:00:00+00:00,-0.00264762856510833,-0.0021431778225057783,1.6815024753418377,0.0005044507426025513,-0.006711911656080552
2023-08-22 12:00:00+00:00,-9.424749197608514e-05,0.0002512432276248075,1.1516357320029755,0.00034549071960089265,-0.009893652664975008
2023-08-22 16:00:00+00:00,0.006564422325387427,0.0069653235987141736,1.3363375777558222,0.0004009012733267466,-0.009966991462979087
2023-08-22 20:00:00+00:00,-0.0010364705021301292,-0.0006154895233199012,1.4032699293674267,0.00042098097881022796,0.01963976752570247
2023-08-23 00:00:00+00:00,0.0021917534316602985,0.002563392518546725,1.2387969562880876,0.0003716390868864263,0.0015916115041519699
2023-08-23 04:00:00+00:00,0.004155536951595449,0.00459685271310871,1.4710525383775388,0.0004413157615132616,0.0079592373093718
2023-08-23 08:00:00+00:00,0.00011012511832336552,0.0005479334072136525,1.4593609629676232,0.00043780828889028694,-0.002692891325063562
2023-08-23 12:00:00+00:00,-0.0012350153093114665,-0.0007999928896384903,1.450074732243254,0.00043502241967297614,0.008220560562792856
2023-08-23 16:00:00+00:00,0.0018133011266805422,0.002120058359905659,1.0225241107503893,0.00030675723322511674,0.018924104842016606
2023-08-23 20:00:00+00:00,0.00034316905028501204,0.0007218970422189108,1.2624266397796624,0.0003787279919338987,-0.008251151534682713
2023-08-24 00:00:00+00:00,0.0012622321895434958,0.0016921227556870836,1.4329685538119596,0.00042989056614358784,0.0015583649474907035
2023-08-24 04:00:00+00:00,-0.0008805988471831188,-0.0003932262440168124,1.6245753438876882,0.0004873726031663064,0.00022174063768900382
2023-08-24 08:00:00+00:00,-0.0008473305315105542,-0.00043773210804794725,1.3653280782086898,0.00040959842346260694,-0.003253178229210278
2023-08-24 12:00:00+00:00,0.005343135125312825,0.005775224697281336,1.4402985732283704,0.0004320895719685111,-0.020835942544470805
2023-08-24 16:00:00+00:00,-0.0007416263742182246,-0.00023112126289582326,1.7016837044080044,0.0005105051113224012,-0.00018524620123804014
2023-08-24 20:00:00+00:00,0.01515329204212363,0.015565669050555304,1.3745900281055827,0.0004123770084316748,0.0067657164415735535
2023-08-25 00:00:00+00:00,-0.000561072647232605,-0.00010287157963125853,1.5273368920044885,0.0004582010676013465,-0.010736605017850821
2023-08-25 04:00:00+00:00,0.0012556302777901544,0.0016470480960438022,1.304726060845493,0.00039141781825364786,-0.0059255616920756565
2023-08-25 08:00:00+00:00,-0.0011026811108486843,-0.0006592364918727067,1.478148729919925,0.00044344461897597744,0.005127447879918569
2023-08-25 12:00:00+00:00,-0.0019875439882954655,-0.0015221425287486377,1.5513381984894257,0.0004654014595468277,-0.004930863564921478
2023-08-25 16:00:00+00:00,-0.0025999354794728996,-0.002190072637887676,1.3662094719507443,0.00040986284158522326,0.002659054861935184
2023-08-25 20:00:00+00:00,0.0012902617621287965,0.001648742707526099,1.194936484657675,0.0003584809453973025,0.0025186194219271665
2023-08-26 00:00:00+00:00,0.003301480706262724,0.003758271678608977,1.5226365744875092,0.0004567909723462527,0.004419076844658858
2023-08-26 04:00:00+00:00,0.0015826550985398788,0.0021101878646469893,1.7584425536903687,0.0005275327661071105,-0.0029351681258205364
2023-08-26 08:00:00+00:00,0.0013577034977331082,0.0018854209666100184,1.759058229589701,0.0005277174688769103,0.0008403884553899663
2023-08-26 12:00:00+00:00,0.005565565707390087,0.006065838006257806,1.6675743295590637,0.000500272298867719,-0.0016428391452788793
2023-08-26 16:00:00+00:00,0.008986429090951651,0.00951647284695744,1.7668125200192972,0.0005300437560057891,-1.0703345881206416e-05
2023-08-26 20:00:00+00:00,0.00012967651822603685,0.000609443422808359,1.5992230152744071,0.0004797669045823221,0.0008847265830892667
2023-08-27 00:00:00+00:00,-0.0003422437156153397,0.00010842395452550428,1.5022255671361469,0.000450667670140844,-0.002847338885391411
2023-08-27 04:00:00+00:00,0.0004929472573907184,0.0009728485232889613,1.5996708863274767,0.00047990126589824296,0.004962248690609301
2023-08-27 08:00:00+00:00,0.0056228811686532725,0.006088278447931635,1.5513242642612086,0.0004653972792783625,-7.52961157607368e-05
2023-08-27 12:00:00+00:00,-0.004522919931945916,-0.00400467839394561,1.7274717933343524,0.0005182415380003057,0.0045165491564817944
2023-08-27 16:00:00+00:00,-0.0014258050833198944,-0.0010187921238851048,1.3567098647826321,0.0004070129594347896,-0.005125765217520187
2023-08-27 20:00:00+00:00,0.0016136426785480272,0.002001872872425542,1.2941006462583828,0.00038823019387751483,-0.00027991946974079834
2023-08-28 00:00:00+00:00,0.00413385907542766,0.004622534348597425,1.6289175772325524,0.0004886752731697657,-0.008247957301676871
2023-08-28 04:00:00+00:00,0.009056818851047883,0.009639994912775932,1.943920205760167,0.00058317606172805,-0.005750390597358018
2023-08-28 08:00:00+00:00,-0.0011117182290531753,-0.0006422081135067119,1.565033718488212,0.00046951011554646353,0.0024417839005941716
2023-08-28 12:00:00+00:00,0.0013542570022232901,0.001825550533572873,1.5709784378319431,0.0004712935313495829,0.012392193154041421
2023-08-28 16:00:00+00:00,0.0015854479699972776,0.0020143498244103697,1.4296728480436405,0.0004289018544130921,-0.0016906420622083002
2023-08-28 20:00:00+00:00,0.001512420287331659,0.001988432887344527,1.58670866670956,0.00047601260001286795,0.006062203275349398
2023-08-29 00:00:00+00:00,0.002873066633209612,0.003367379287604496,1.6477088479829467,0.000494312654394884,-0.005145457812014309
2023-08-29 04:00:00+00:00,0.0064513759414518155,0.00696660302623439,1.717423615941914,0.0005152270847825741,-0.0032632229264002374
2023-08-29 08:00:00+00:00,-0.0038749308652014343,-0.0033430047531210695,1.7730870402678836,0.000531926112080365,-0.0022073303835103697
2023-08-29 12:00:00+00:00,0.00948593726078623,0.009868469625152629,1.2751078812213295,0.0003825323643663988,0.045492090015511244
2023-08-29 16:00:00+00:00,-0.0008699268892614838,-0.00034262875061675776,1.757660462149087,0.0005272981386447261,0.0044805210868245834
2023-08-29 20:00:00+00:00,-0.00025192671013099586,0.0001883078487920761,1.4674485297435733,0.00044023455892307196,-0.002026947417306954
2023-08-30 00:00:00+00:00,-0.00016549250309067241,0.0003132367680687561,1.5957642371980951,0.0004787292711594285,-0.013437596679931378
2023-08-30 04:00:00+00:00,-0.00019852471935919455,0.0001548523955684977,1.1779237164256409,0.00035337711492769224,-0.0004057629313325567
2023-08-30 08:00:00+00:00,-0.001732332634721302,-0.0012876032091070316,1.4824314187142347,0.0004447294256142704,-0.004222839398480581
2023-08-30 12:00:00+00:00,-0.00474285913802818,-0.004321518135905214,1.4044700070765552,0.0004213410021229665,-0.009908053700936961
2023-08-30 16:00:00+00:00,-0.00032780745420562374,3.855874199417916e-06,1.1055444280168056,0.00033166332840504166,0.0007386007700511676
2023-08-30 20:00:00+00:00,-0.0008430740740746273,-0.00046186990920950034,1.2706805495504232,0.0003812041648651269,0.002238223028511614
2023-08-31 00:00:00+00:00,-0.0013426756338020655,-0.0008821053921089056,1.5352341389772,0.00046057024169315994,-0.006943973383152627
2023-08-31 04:00:00+00:00,-0.0012168293172874047,-0.0008490581330019243,1.2259039476182683,0.00036777118428548046,0.004492059565275146
2023-08-31 08:00:00+00:00,-0.0003315913485308963,4.815872110567961e-05,1.265833565455253,0.0003797500696365759,0.004444571550208852
2023-08-31 12:00:00+00:00,0.0030523978636686627,0.0034000240287038355,1.1587538834505753,0.00034762616503517256,-0.020877690215503848
2023-08-31 16:00:00+00:00,-0.0046114949864689645,-0.004112817803004164,1.6622572782159994,0.0004986771834647998,-0.01599894156854429
2023-08-31 20:00:00+00:00,-0.001381707709281069,-0.001108919571080498,0.9092937940019034,0.000272788138200571,-0.0027054008849125774
2023-09-01 00:00:00+00:00,-0.004220038970424097,-0.00386100360718361,1.1967845441349556,0.00035903536324048663,-0.0019629116366085483
2023-09-01 04:00:00+00:00,0.000698273463241374,0.001098507325413199,1.334112873906084,0.00040023386217182515,-0.0028967641249568674
2023-09-01 08:00:00+00:00,0.0007850431676609477,0.0012443491416084303,1.531019913158276,0.00045930597394748274,0.003518997738663085
2023-09-01 12:00:00+00:00,-0.001245900246429588,-0.0007654875794785178,1.6013755565035674,0.0004804126669510702,-0.011491723025938365
2023-09-01 16:00:00+00:00,-0.0030749189288607056,-0.0027019188851700737,1.2433334789687727,0.00037300004369063175,-0.01025227978412549
2023-09-01 20:00:00+00:00,-0.0014714708280549227,-0.0010878206379382948,1.278833967055426,0.00038365019011662776,0.004363263103665985
2023-09-02 00:00:00+00:00,0.002363052276363253,0.0027974686740235345,1.4480546588676053,0.00043441639766028157,0.0033846000473738286
2023-09-02 04:00:00+00:00,0.012218448019913194,0.012698130162356058,1.5989404748095442,0.0004796821424428632,-0.0013832167067748188
2023-09-02 08:00:00+00:00,0.004928076380689548,0.0054367847278345765,1.695694490483431,0.0005087083471450293,0.002302518615187786
2023-09-02 12:00:00+00:00,-0.0022217213763728256,-0.001680961727861508,1.802532161704392,0.0005407596485113175,0.0024382222171990195
2023-09-02 16:00:00+00:00,-0.00018482520472743868,0.000145229618044213,1.1001827425721724,0.0003300548227716517,-0.005763710351851442
2023-09-02 20:00:00+00:00,0.0014287296727237908,0.001899320205194145,1.5686351082345136,0.00047059053247035406,0.005462657335997531
2023-09-03 00:00:00+00:00,-0.0005955696389090769,-0.00014154251014787125,1.5134237625373521,0.0004540271287612056,-0.00022015882350773924
2023-09-03 04:00:00+00:00,-0.0017829648727703488,-0.0013865157069484035,1.3214972194064845,0.0003964491658219453,0.0010792308549523733
2023-09-03 08:00:00+00:00,0.0005266230163664717,0.0008853055167954489,1.1956083347632573,0.00035868250042897715,-0.001945922921344434
2023-09-03 12:00:00+00:00,0.001128650398647387,0.0015877082184785481,1.5301927327705371,0.0004590578198311611,-0.0029515548852743836
2023-09-03 16:00:00+00:00,0.0016409835363283996,0.002142374989676751,1.6713048444945044,0.0005013914533483513,0.0017772772525260008
2023-09-03 20:00:00+00:00,-0.0010476904772893955,-0.0004896683893901293,1.8600736263308872,0.0005580220878992661,0.0014170021287989373
2023-09-04 00:00:00+00:00,-0.0019847689755803457,-0.0015464632457405157,1.4610190994660999,0.0004383057298398299,0.01029434803679423
2023-09-04 04:00:00+00:00,0.003844645837743763,0.004255734396016755,1.3702951942433055,0.00041108855827299163,-0.0039330856483694165
2023-09-04 08:00:00+00:00,0.0017357975037825997,0.0022481634601377374,1.707886521183793,0.0005123659563551379,-0.0037175144248329656
2023-09-04 12:00:00+00:00,0.004831875253846229,0.005386927575546157,1.850174405666427,0.0005550523216999281,-0.0036669191189273587
2023-09-04 16:00:00+00:00,0.0001362437790656729,0.0006023880733776873,1.5538143143733816,0.0004661442943120144,0.0050311506509754245
2023-09-04 20:00:00+00:00,0.0028978353696969997,0.003324343085302405,1.4216923853513503,0.0004265077156054051,-0.002831991372622217
2023-09-05 00:00:00+00:00,-0.0027455061271838086,-0.0022714862810206808,1.5800661538770928,0.0004740198461631278,-0.00918055339528688
2023-09-05 04:00:00+00:00,0.0018495520353221718,0.00227226499639396,1.4090432035726272,0.0004227129610717881,0.006495187228320112
2023-09-05 08:00:00+00:00,-0.0002852442454958266,0.00022611698403018942,1.7045374317533868,0.000511361229526016,0.006050027058607792
2023-09-05 12:00:00+00:00,-0.0012397928036582896,-0.0008484672539743268,1.3044184989465428,0.00039132554968396283,0.0023539270813795754
2023-09-05 16:00:00+00:00,0.0028877931615191735,0.003323585508942665,1.4526411580783052,0.0004357923474234915,-0.00169326501116953
2023-09-05 20:00:00+00:00,0.0018130394497975883,0.0023232582081087524,1.7007291943705467,0.000510218758311164,0.003941621119321295
2023-09-06 00:00:00+00:00,0.001901849651647325,0.0023690123133967515,1.5572088724980884,0.0004671626617494265,0.0030507780583098956
2023-09-06 04:00:00+00:00,0.0005318951771822324,0.001042997492954301,1.7036743859068955,0.0005111023157720686,-0.009019382386439297
2023-09-06 08:00:00+00:00,0.0015479250687153363,0.0019988136305388823,1.5029618727451537,0.00045088856182354606,0.0022240231692053566
2023-09-06 12:00:00+00:00,0.00028413035789110874,0.0007602276826984673,1.5869910826911955,0.0004760973248073586,-0.005085020149466581
2023-09-06 16:00:00+00:00,-0.0021655386496195854,-0.0016683377181380484,1.6573364382717894,0.0004972009314815368,0.005186725224742499
2023-09-06 20:00:00+00:00,0.0003486981205962117,0.000750780007416769,1.3402729560685243,0.00040208188682055724,0.003901493446834263
2023-09-07 00:00:00+00:00,-0.0009949829639517792,-0.0005143360165029304,1.6021564914961632,0.0004806469474488489,0.0043529951608938175
2023-09-07 04:00:00+00:00,0.0015708389915569762,0.001999603789610536,1.4292159935118667,0.00042876479805355997,-0.004667897257703522
2023-09-07 08:00:00+00:00,-0.0005175213289732444,-5.726618375317559e-05,1.5341838174002294,0.0004602551452200688,-0.006770117171372082
2023-09-07 12:00:00+00:00,-0.0017438594873321624,-0.0012945908098971753,1.497562258116624,0.00044926867743498713,0.0034486372548074434
2023-09-07 16:00:00+00:00,0.0028101557978947598,0.0032342361736852443,1.4136012526349488,0.00042408037579048463,0.002180027420260272
2023-09-07 20:00:00+00:00,0.0006550602683103738,0.0011185584174355418,1.5449938304172268,0.000463498149125168,0.010030199740153081
2023-09-08 00:00:00+00:00,-0.00031375703107470673,0.00016682893159355587,1.6019532088942088,0.0004805859626682626,-0.00043447648172662695
2023-09-08 04:00:00+00:00,9.5391254735234e-05,0.0004885590049525766,1.310559167391142,0.0003931677502173426,-0.0026375866486404026
2023-09-08 08:00:00+00:00,-0.00034912023728971307,7.21510184927773e-05,1.404237519274968,0.0004212712557824904,-0.012698738218920827
2023-09-08 12:00:00+00:00,0.0003219132779519604,0.0007667870189979624,1.48291247015334,0.000444873741046002,0.0006328915417834965
2023-09-08 16:00:00+00:00,0.0004861311939753594,0.0009166077291765783,1.4349217840040633,0.00043047653520121896,0.0011913011885741898
2023-09-08 20:00:00+00:00,0.0002472891150430055,0.0006952198493460689,1.4931024476768782,0.0004479307343030634,0.0008914909160149045
2023-09-09 00:00:00+00:00,-0.0011487491499934603,-0.0006817053722414558,1.5568125925066816,0.00046704377775200445,-0.0009555403908879795
2023-09-09 04:00:00+00:00,-0.0007994150454640483,-0.00034188108665729293,1.525113196022518,0.00045753395880675533,0.0012054196145751261
2023-09-09 08:00:00+00:00,-0.0008059005538656349,-0.00036299559935322494,1.4763498483747,0.00044290495451240996,-0.00013985723993187316
