date,symbol,signal,rank_desc
2024-08-28,600837.XSHG,0.005813953488372103,1.0
2024-08-28,159915.XSHE,-0.0006662225183210468,4.0
2024-08-29,000858.XSHE,0.018390598367273636,3.0
2024-08-29,159915.XSHE,0.0181573638197714,4.0
2024-08-30,000858.XSHE,0.04695420186749666,2.0
2024-08-30,512690.XSHG,0.037950664136622514,3.0
2024-09-02,601398.XSHG,0.010619469026548645,2.0
2024-09-02,512800.XSHG,0.009630818619582593,3.0
2024-09-03,600276.XSHG,0.019477543538038544,1.0
2024-09-03,600837.XSHG,0.011918951132300348,3.0
2024-09-03,000002.XSHE,0.01086956521739113,5.0
2024-09-04,159915.XSHE,0.0032938076416335615,2.0
2024-09-04,512800.XSHG,0.0,5.0
2024-09-05,600837.XSHG,0.03782505910165468,1.0
2024-09-05,600340.XSHG,0.018867924528301883,2.0
2024-09-05,601318.XSHG,0.01564409679784906,3.0
2024-09-05,000002.XSHE,0.007645259938837912,4.0
2024-09-06,601166.XSHG,0.004478566858605149,2.0
2024-09-06,600036.XSHG,0.002337228714524242,4.0
2024-09-06,601398.XSHG,0.001848428835489857,5.0
2024-09-09,600030.XSHG,0.009169363538295672,1.0
2024-09-09,000002.XSHE,0.0015723270440251014,2.0
2024-09-09,159915.XSHE,0.0,3.0
2024-09-09,600340.XSHG,0.0,4.0
2024-09-10,601398.XSHG,0.0092592592592593,3.0
2024-09-10,600276.XSHG,0.008891928864569021,4.0
2024-09-10,601166.XSHG,0.006557377049180246,5.0
2024-09-11,000333.XSHE,0.03082311733800336,1.0
2024-09-11,159915.XSHE,0.012591119946984808,3.0
2024-09-11,512010.XSHG,0.009584664536741228,4.0
2024-09-12,601166.XSHG,0.017275747508305628,2.0
2024-09-12,000001.XSHE,0.014254385964912464,3.0
2024-09-12,512800.XSHG,0.013536379018612488,4.0
2024-09-12,601398.XSHG,0.009487666034155628,5.0
2024-09-13,000333.XSHE,0.0297012898845892,1.0
2024-09-13,600036.XSHG,0.009621993127147732,2.0
2024-09-13,601318.XSHG,0.00390625,3.0
2024-09-13,601398.XSHG,0.001872659176029856,5.0
2024-09-18,000333.XSHE,0.022858082552211778,1.0
2024-09-18,000002.XSHE,0.020472440944881987,2.0
2024-09-18,600104.XSHG,0.01736111111111116,3.0
2024-09-18,601318.XSHG,0.012357644778289156,4.0
2024-09-19,000858.XSHE,0.032862018527547665,1.0
2024-09-19,000002.XSHE,0.027355623100303816,2.0
2024-09-19,000333.XSHE,0.02234269755216034,3.0
2024-09-19,512690.XSHG,0.02053388090349073,4.0
2024-09-19,600340.XSHG,0.019230769230769162,5.0
2024-09-20,000002.XSHE,0.03933434190620266,1.0
2024-09-20,600340.XSHG,0.01904761904761898,2.0
2024-09-20,000333.XSHE,0.01821992905514347,3.0
2024-09-20,512690.XSHG,0.014227642276422703,4.0
2024-09-23,601166.XSHG,0.020631850419084552,1.0
2024-09-23,512800.XSHG,0.016447368421052655,2.0
2024-09-23,000002.XSHE,0.016152716593245353,3.0
2024-09-23,000333.XSHE,0.016083254493850507,4.0
2024-09-23,000001.XSHE,0.01492537313432818,5.0
2024-09-24,600519.XSHG,0.06217787390748497,1.0
2024-09-24,600030.XSHG,0.05317501290655646,2.0
2024-09-24,159915.XSHE,0.04150197628458496,3.0
2024-09-24,600000.XSHG,0.04142011834319548,4.0
2024-09-25,600340.XSHG,0.018018018018017834,1.0
2024-09-25,600000.XSHG,0.016519823788546217,2.0
2024-09-25,000002.XSHE,0.012448132780082943,3.0
2024-09-25,000333.XSHE,0.010534236267870645,4.0
2024-09-25,512010.XSHG,0.0031055900621117516,5.0
2024-09-26,600340.XSHG,0.10714285714285698,1.0
2024-09-26,000002.XSHE,0.0983606557377048,2.0
2024-09-26,512690.XSHG,0.09532710280373813,3.0
2024-09-26,000858.XSHE,0.08985138004246296,4.0
2024-09-26,159928.XSHE,0.08100558659217882,5.0
2024-09-27,159915.XSHE,0.06224783861671468,1.0
2024-09-27,510500.XSHG,0.059866089011421764,2.0
2024-09-27,512010.XSHG,0.04637681159420293,3.0
2024-09-30,601318.XSHG,0.04060236370568049,2.0
2024-09-30,601857.XSHG,0.03694874851013097,4.0
2024-10-08,600837.XSHG,0.0,4.0
2024-10-09,600837.XSHG,0.0,3.0
2024-10-09,601398.XSHG,0.0,4.0
2024-10-10,601398.XSHG,0.029159519725557415,1.0
2024-10-10,600036.XSHG,0.02484129174717098,3.0
2024-10-10,512800.XSHG,0.02463768115942022,4.0
2024-10-11,000002.XSHE,0.007838745800671898,2.0
2024-10-11,600340.XSHG,0.007299270072992581,3.0
2024-10-11,601398.XSHG,0.0016750418760469454,4.0
2024-10-14,512760.XSHG,0.03465851172273182,1.0
2024-10-14,000333.XSHE,0.027554221797844614,2.0
2024-10-14,510500.XSHG,0.025476539589442737,3.0
2024-10-14,159915.XSHE,0.025230470645317915,4.0
2024-10-14,600276.XSHG,0.016334661354581614,5.0
2024-10-15,000002.XSHE,0.017621145374449254,1.0
2024-10-15,512760.XSHG,0.0019920318725099584,2.0
2024-10-15,601857.XSHG,0.0,3.0
2024-10-15,000001.XSHE,-0.002590673575129432,4.0
2024-10-15,600276.XSHG,-0.0033583563808770034,5.0
2024-10-16,600837.XSHG,0.07783882783882778,1.0
2024-10-16,000002.XSHE,0.04914529914529919,2.0
2024-10-16,600340.XSHG,0.047945205479452024,3.0
2024-10-16,601166.XSHG,0.03515413737155226,4.0
2024-10-16,512800.XSHG,0.025423728813559254,5.0
2024-10-17,600837.XSHG,0.09560723514211888,1.0
2024-10-17,600276.XSHG,0.0006087662337661559,2.0
2024-10-17,600000.XSHG,-0.0010040160642571516,3.0
2024-10-17,601398.XSHG,-0.0016474464579901982,4.0
2024-10-17,000001.XSHE,-0.0025751072961374133,5.0
2024-10-18,159915.XSHE,0.10194902548725637,1.0
