Label,Set,Span,Days,AnnRet,Sharpe,MaxDD,MAR,WinRateM
V2 (T 14:46 → T+1 14:56),Train,2024-08-27 → 2025-03-05,123,1.6216028031792797,3.4045867940765655,-0.0787797525556726,20.584004780077404,0.875
V2 (T 14:46 → T+1 14:56),Test,2025-03-06 → 2025-05-23,53,0.2411734489044659,1.1388301447008535,-0.08699432977456412,2.772289292065809,0.6666666666666666
V2 (T 14:46 → T+1 14:56),Full,2024-08-27 → 2025-05-23,176,1.0930401124122326,2.835666064919467,-0.086994329774564,12.564498344256721,0.8
"Buy&Hold (EW, same window)",Train,2024-08-27 → 2025-03-05,123,0.6984332875837134,2.083144722641045,-0.09787785513207337,7.135764128068285,0.625
"Buy&Hold (EW, same window)",Test,2025-03-06 → 2025-05-23,53,0.3129907422440197,1.5681114771463667,-0.08767397450786807,3.569939015550517,1.0
"Buy&Hold (EW, same window)",Full,2024-08-27 → 2025-05-23,176,0.571757038254215,1.9399660759835864,-0.09787785513207337,5.841536244155572,0.8
