Segment,Sharpe,AnnRet,MaxDD,MAR,MonthlyWin,Start,End
Full,2.0023862927125036,0.5436116671308513,0.2647289343137401,2.0534652494260293,0.75,2020-08-03 15:29:00,2025-07-31 15:55:00
Train,1.7508557129000397,0.4583801255208695,0.2647289343137401,1.7315074633195409,0.7291666666666666,2020-08-03 15:29:00,2024-07-31 15:54:00
Test,3.0331738256401084,0.9413350681304138,0.12691218590733985,7.4172157811362105,0.7692307692307693,2024-07-31 15:55:00,2025-07-31 15:55:00
