trade_date,symbol,entry_day,entry_time,entry_px,exit_day,exit_time,exit_px,ret
2024-08-27,512760.XSHG,2024-08-26,14:46:00,0.743,2024-08-27,14:56:00,0.733,-0.014058950201884256
2024-08-27,512800.XSHG,2024-08-26,14:46:00,0.664,2024-08-27,14:56:00,0.668,0.005424096385542244
2024-08-27,600340.XSHG,2024-08-26,14:46:00,1.03,2024-08-27,14:56:00,1.03,-0.0006
2024-08-27,159915.XSHE,2024-08-26,14:46:00,1.514,2024-08-27,14:56:00,1.501,-0.009186525759577412
2024-08-27,000001.XSHE,2024-08-26,14:46:00,9.95,2024-08-27,14:56:00,9.91,-0.004620100502512447
2024-08-28,000002.XSHE,2024-08-27,14:46:00,6.3,2024-08-28,14:56:00,6.22,-0.013298412698412764
2024-08-28,601857.XSHG,2024-08-27,14:46:00,8.82,2024-08-28,14:56:00,8.68,-0.016473015873015927
2024-08-28,159928.XSHE,2024-08-27,14:46:00,0.704,2024-08-28,14:56:00,0.694,-0.014804545454545414
2024-08-28,512760.XSHG,2024-08-27,14:46:00,0.731,2024-08-28,14:56:00,0.734,0.003503967168262557
2024-08-28,600000.XSHG,2024-08-27,14:46:00,8.63,2024-08-28,14:56:00,8.58,-0.006393742757821629
2024-08-29,000001.XSHE,2024-08-28,14:46:00,9.77,2024-08-29,14:56:00,9.63,-0.014929580348004023
2024-08-29,000002.XSHE,2024-08-28,14:46:00,6.21,2024-08-29,14:56:00,6.24,0.004230917874396157
2024-08-29,601166.XSHG,2024-08-28,14:46:00,16.41,2024-08-29,14:56:00,15.95,-0.02863168799512501
2024-08-29,000858.XSHE,2024-08-28,14:46:00,108.78,2024-08-29,14:56:00,113.42,0.04205489979775694
2024-08-29,159928.XSHE,2024-08-28,14:46:00,0.693,2024-08-29,14:56:00,0.706,0.018159018759018753
2024-08-30,600837.XSHG,2024-08-29,14:46:00,8.42,2024-08-30,14:56:00,8.6,0.0207776722090262
2024-08-30,512760.XSHG,2024-08-29,14:46:00,0.742,2024-08-30,14:56:00,0.768,0.034440431266846414
2024-08-30,510500.XSHG,2024-08-29,14:46:00,4.558,2024-08-30,14:56:00,4.634,0.01607397981570873
2024-08-30,159915.XSHE,2024-08-29,14:46:00,1.512,2024-08-30,14:56:00,1.551,0.025193650793650702
2024-08-30,000858.XSHE,2024-08-29,14:46:00,113.49,2024-08-30,14:56:00,117.78,0.03720068728522345
2024-09-02,000002.XSHE,2024-08-30,14:46:00,6.77,2024-09-02,14:56:00,6.42,-0.052298670605612954
2024-09-02,600340.XSHG,2024-08-30,14:46:00,1.05,2024-09-02,14:56:00,1.08,0.027971428571428692
2024-09-02,512010.XSHG,2024-08-30,14:46:00,0.322,2024-09-02,14:56:00,0.317,-0.01612795031055898
2024-09-02,510500.XSHG,2024-08-30,14:46:00,4.637,2024-09-02,14:56:00,4.541,-0.021303040759111335
2024-09-02,600030.XSHG,2024-08-30,14:46:00,18.93,2024-09-02,14:56:00,18.6,-0.018032646592709933
2024-09-03,601398.XSHG,2024-09-02,14:46:00,5.71,2024-09-03,14:56:00,5.53,-0.032123642732049
2024-09-03,512010.XSHG,2024-09-02,14:46:00,0.317,2024-09-03,14:56:00,0.319,0.005709148264984188
2024-09-03,601857.XSHG,2024-09-02,14:46:00,8.53,2024-09-03,14:56:00,8.25,-0.03342532239155911
2024-09-03,000858.XSHE,2024-09-02,14:46:00,114.03,2024-09-03,14:56:00,114.94,0.007380356046654258
2024-09-03,512690.XSHG,2024-09-02,14:46:00,0.527,2024-09-03,14:56:00,0.532,0.008887666034155629
