timestamp,symbol,strategy,action,qty,reason,zscore,target_pos,blocked_reason
2026-01-23T21:20:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.0037973746720539,0.0,
2026-01-23T21:21:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.0037973746720539,0.0,
2026-01-23T21:20:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.0037973746720539,0.0,
2026-01-23T21:21:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.0037973746720539,0.0,
2026-01-23T21:20:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.0037973746720539,0.0,
2026-01-23T21:22:00-05:00,BTC/USD,window360_strategy,hold,0.0,no_change,-1.139356992145411,0.0,below_z_enter
2026-01-23T21:20:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.1380277163756376,0.0,
2026-01-23T21:22:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.1380277163756376,0.0,
2026-01-23T21:20:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.1380277163756376,0.0,
2026-01-23T21:22:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.1380277163756376,0.0,
2026-01-23T21:20:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.1380277163756376,0.0,
2026-01-23T21:22:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.1380277163756376,0.0,
2026-01-23T21:20:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.1380277163756376,0.0,
2026-01-23T21:22:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.1380277163756376,0.0,
2026-01-23T21:20:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.1380277163756376,0.0,
2026-01-23T21:22:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.1380277163756376,0.0,
2026-01-23T21:20:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.1380277163756376,0.0,
2026-01-23T21:23:00-05:00,BTC/USD,window360_strategy,hold,0.0,no_change,-1.0746624598063932,0.0,below_z_enter
2026-01-23T21:23:00-05:00,ETH/USD,window360_strategy,hold,0.0,no_change,-0.8008508320434569,-0.0,below_z_enter
2026-01-23T21:23:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-0.8008508320434569,0.0,
2026-01-23T21:23:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-0.8008508320434569,0.0,
2026-01-23T21:23:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-0.8008508320434569,0.0,
2026-01-23T21:23:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-0.8008508320434569,0.0,
2026-01-23T21:23:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-0.8008508320434569,0.0,
2026-01-23T21:23:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-0.8008508320434569,0.0,
2026-01-23T21:23:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-0.8008508320434569,0.0,
2026-01-23T21:23:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-0.8008508320434569,0.0,
2026-01-23T21:23:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-0.8008508320434569,0.0,
2026-01-23T21:23:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-0.8008508320434569,0.0,
2026-01-23T21:24:00-05:00,BTC/USD,window360_strategy,hold,0.0,no_change,-0.8709971961696014,0.0,below_z_enter
2026-01-23T21:24:00-05:00,ETH/USD,window360_strategy,hold,0.0,no_change,-1.1572435597757902,-0.0,below_z_enter
2026-01-23T21:24:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.1572435597757902,0.0,
2026-01-23T21:24:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.1572435597757902,0.0,
2026-01-23T21:24:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.1572435597757902,0.0,
2026-01-23T21:24:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.1572435597757902,0.0,
2026-01-23T21:24:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.1572435597757902,0.0,
2026-01-23T21:24:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.1572435597757902,0.0,
2026-01-23T21:24:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.1572435597757902,0.0,
2026-01-23T21:24:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.1572435597757902,0.0,
2026-01-23T21:24:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.1572435597757902,0.0,
2026-01-23T21:24:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.1572435597757902,0.0,
2026-01-23T21:25:00-05:00,BTC/USD,window360_strategy,hold,0.0,no_change,-1.2338878426479478,0.0,edge_filter
2026-01-23T21:25:00-05:00,ETH/USD,window360_strategy,hold,0.0,no_change,-1.074507616890848,-0.0,below_z_enter
2026-01-23T21:25:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.074507616890848,0.0,
2026-01-23T21:25:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.074507616890848,0.0,
2026-01-23T21:25:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.074507616890848,0.0,
2026-01-23T21:25:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.074507616890848,0.0,
2026-01-23T21:25:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.074507616890848,0.0,
2026-01-23T21:25:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.074507616890848,0.0,
2026-01-23T21:25:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.074507616890848,0.0,
2026-01-23T21:25:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.074507616890848,0.0,
2026-01-23T21:25:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-1.074507616890848,0.0,
2026-01-23T21:25:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-1.074507616890848,0.0,
2026-01-23T21:26:00-05:00,BTC/USD,window360_strategy,hold,0.0,no_change,-0.7680941102937087,0.0,below_z_enter
2026-01-23T21:25:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-0.7703804841597194,0.0,
2026-01-23T21:26:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-0.7703804841597194,0.0,
2026-01-23T21:25:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-0.7703804841597194,0.0,
2026-01-23T21:26:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-0.7703804841597194,0.0,
2026-01-23T21:25:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-0.7703804841597194,0.0,
2026-01-23T21:26:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-0.7703804841597194,0.0,
2026-01-23T21:25:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-0.7703804841597194,0.0,
2026-01-23T21:26:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-0.7703804841597194,0.0,
2026-01-23T21:25:00-05:00,ETH/USD,window360_strategy,hold,0.0,same_minute,-0.7703804841597194,0.0,
2026-01-23T21:26:00-05:00,BTC/USD,window360_strategy,hold,0.0,same_minute,-0.7703804841597194,0.0,
