timestamp,symbol,strategy,open,high,low,close,volume
2026-01-22T16:59:00+00:00,BTC/USD,window360_strategy,88951.2,88951.2,88951.2,88951.2,0
2026-01-22T17:00:00+00:00,BTC/USD,window360_strategy,88933.987,88933.987,88933.987,88933.987,0
2026-01-22T17:01:00+00:00,BTC/USD,window360_strategy,89074.08,89074.08,89074.08,89074.08,0
2026-01-22T17:02:00+00:00,BTC/USD,window360_strategy,89073.7525,89073.7525,89073.7525,89073.7525,0
2026-01-22T17:03:00+00:00,BTC/USD,window360_strategy,89068.244,89068.244,89068.244,89068.244,0
2026-01-22T17:04:00+00:00,BTC/USD,window360_strategy,89101.35,89101.35,89101.35,89101.35,0
2026-01-22T17:05:00+00:00,BTC/USD,window360_strategy,89131.5375,89131.5375,89131.5375,89131.5375,0
2026-01-22T17:06:00+00:00,BTC/USD,window360_strategy,89099.8585,89099.8585,89099.8585,89099.8585,0
2026-01-22T17:07:00+00:00,BTC/USD,window360_strategy,89124.187,89124.187,89124.187,89124.187,0
2026-01-22T17:08:00+00:00,BTC/USD,window360_strategy,89255.02,89255.02,89255.02,89255.02,0
2026-01-22T17:09:00+00:00,BTC/USD,window360_strategy,89278.914,89278.914,89278.914,89278.914,0
2026-01-22T17:10:00+00:00,BTC/USD,window360_strategy,89312.8415,89312.8415,89312.8415,89312.8415,0
2026-01-22T17:11:00+00:00,BTC/USD,window360_strategy,89285.515,89285.515,89285.515,89285.515,0
2026-01-22T17:12:00+00:00,BTC/USD,window360_strategy,89140.765,89140.765,89140.765,89140.765,0
2026-01-22T17:13:00+00:00,BTC/USD,window360_strategy,89211.647,89211.647,89211.647,89211.647,0
2026-01-22T17:14:00+00:00,BTC/USD,window360_strategy,89135.9825,89135.9825,89135.9825,89135.9825,0
2026-01-22T17:15:00+00:00,BTC/USD,window360_strategy,89152.19,89152.19,89152.19,89152.19,0
2026-01-22T17:16:00+00:00,BTC/USD,window360_strategy,89222.645,89222.645,89222.645,89222.645,0
2026-01-22T17:17:00+00:00,BTC/USD,window360_strategy,89221.2815,89221.2815,89221.2815,89221.2815,0
2026-01-22T17:18:00+00:00,BTC/USD,window360_strategy,89231.445,89231.445,89231.445,89231.445,0
2026-01-22T17:19:00+00:00,BTC/USD,window360_strategy,89228.361,89228.361,89228.361,89228.361,0
2026-01-22T17:20:00+00:00,BTC/USD,window360_strategy,89318.5525,89318.5525,89318.5525,89318.5525,0
2026-01-22T17:21:00+00:00,BTC/USD,window360_strategy,89218.096,89218.096,89218.096,89218.096,0
2026-01-22T17:22:00+00:00,BTC/USD,window360_strategy,89218.0,89218.0,89218.0,89218.0,0
2026-01-22T17:23:00+00:00,BTC/USD,window360_strategy,89157.11,89157.11,89157.11,89157.11,0
2026-01-22T17:24:00+00:00,BTC/USD,window360_strategy,89211.1,89211.1,89211.1,89211.1,0
2026-01-22T17:25:00+00:00,BTC/USD,window360_strategy,89086.606,89086.606,89086.606,89086.606,0
2026-01-22T17:26:00+00:00,BTC/USD,window360_strategy,89110.705,89110.705,89110.705,89110.705,0
2026-01-22T17:27:00+00:00,BTC/USD,window360_strategy,89045.4355,89045.4355,89045.4355,89045.4355,0
2026-01-22T17:28:00+00:00,BTC/USD,window360_strategy,89058.908,89058.908,89058.908,89058.908,0
2026-01-22T17:29:00+00:00,BTC/USD,window360_strategy,89043.3,89043.3,89043.3,89043.3,0
2026-01-22T17:30:00+00:00,BTC/USD,window360_strategy,89077.57,89077.57,89077.57,89077.57,0
2026-01-22T17:31:00+00:00,BTC/USD,window360_strategy,89050.312,89050.312,89050.312,89050.312,0
2026-01-22T17:32:00+00:00,BTC/USD,window360_strategy,89142.1065,89142.1065,89142.1065,89142.1065,0
2026-01-22T17:33:00+00:00,BTC/USD,window360_strategy,89189.5635,89189.5635,89189.5635,89189.5635,0
2026-01-22T17:34:00+00:00,BTC/USD,window360_strategy,89097.83,89097.83,89097.83,89097.83,0
2026-01-22T17:35:00+00:00,BTC/USD,window360_strategy,89061.4665,89061.4665,89061.4665,89061.4665,0
2026-01-22T17:36:00+00:00,BTC/USD,window360_strategy,89046.03,89046.03,89046.03,89046.03,0
2026-01-22T17:37:00+00:00,BTC/USD,window360_strategy,89061.9895,89061.9895,89061.9895,89061.9895,0
2026-01-22T17:38:00+00:00,BTC/USD,window360_strategy,89037.718,89037.718,89037.718,89037.718,0
2026-01-22T17:39:00+00:00,BTC/USD,window360_strategy,89020.505,89020.505,89020.505,89020.505,0
2026-01-22T17:40:00+00:00,BTC/USD,window360_strategy,89064.895,89064.895,89064.895,89064.895,0
2026-01-22T17:41:00+00:00,BTC/USD,window360_strategy,89028.438,89028.438,89028.438,89028.438,0
2026-01-22T17:42:00+00:00,BTC/USD,window360_strategy,89113.376,89113.376,89113.376,89113.376,0
2026-01-22T17:43:00+00:00,BTC/USD,window360_strategy,89106.87,89106.87,89106.87,89106.87,0
2026-01-22T17:44:00+00:00,BTC/USD,window360_strategy,89137.581,89137.581,89137.581,89137.581,0
2026-01-22T17:45:00+00:00,BTC/USD,window360_strategy,89219.4595,89219.4595,89219.4595,89219.4595,0
2026-01-22T17:46:00+00:00,BTC/USD,window360_strategy,89376.82,89376.82,89376.82,89376.82,0
2026-01-22T17:47:00+00:00,BTC/USD,window360_strategy,89367.385,89367.385,89367.385,89367.385,0
2026-01-22T17:48:00+00:00,BTC/USD,window360_strategy,89336.2595,89336.2595,89336.2595,89336.2595,0
2026-01-22T17:49:00+00:00,BTC/USD,window360_strategy,89330.46,89330.46,89330.46,89330.46,0
2026-01-22T17:50:00+00:00,BTC/USD,window360_strategy,89404.005,89404.005,89404.005,89404.005,0
2026-01-22T17:51:00+00:00,BTC/USD,window360_strategy,89424.8215,89424.8215,89424.8215,89424.8215,0
2026-01-22T17:52:00+00:00,BTC/USD,window360_strategy,89365.072,89365.072,89365.072,89365.072,0
2026-01-22T17:53:00+00:00,BTC/USD,window360_strategy,89343.0285,89343.0285,89343.0285,89343.0285,0
2026-01-22T17:54:00+00:00,BTC/USD,window360_strategy,89405.9525,89405.9525,89405.9525,89405.9525,0
2026-01-22T17:55:00+00:00,BTC/USD,window360_strategy,89366.38,89366.38,89366.38,89366.38,0
2026-01-22T17:56:00+00:00,BTC/USD,window360_strategy,89391.335,89391.335,89391.335,89391.335,0
2026-01-22T17:57:00+00:00,BTC/USD,window360_strategy,89432.5835,89432.5835,89432.5835,89432.5835,0
2026-01-22T17:58:00+00:00,BTC/USD,window360_strategy,89467.559,89467.559,89467.559,89467.559,0
2026-01-22T17:59:00+00:00,BTC/USD,window360_strategy,89473.571,89473.571,89473.571,89473.571,0
2026-01-22T18:00:00+00:00,BTC/USD,window360_strategy,89461.825,89461.825,89461.825,89461.825,0
2026-01-22T18:01:00+00:00,BTC/USD,window360_strategy,89403.86,89403.86,89403.86,89403.86,0
2026-01-22T18:02:00+00:00,BTC/USD,window360_strategy,89381.47,89381.47,89381.47,89381.47,0
2026-01-22T18:03:00+00:00,BTC/USD,window360_strategy,89329.889,89329.889,89329.889,89329.889,0
2026-01-22T18:04:00+00:00,BTC/USD,window360_strategy,89294.69,89294.69,89294.69,89294.69,0
2026-01-22T18:05:00+00:00,BTC/USD,window360_strategy,89404.968,89404.968,89404.968,89404.968,0
2026-01-22T18:06:00+00:00,BTC/USD,window360_strategy,89382.35,89382.35,89382.35,89382.35,0
2026-01-22T18:07:00+00:00,BTC/USD,window360_strategy,89447.466,89447.466,89447.466,89447.466,0
2026-01-22T18:08:00+00:00,BTC/USD,window360_strategy,89491.79,89491.79,89491.79,89491.79,0
2026-01-22T18:09:00+00:00,BTC/USD,window360_strategy,89425.1075,89425.1075,89425.1075,89425.1075,0
2026-01-22T18:10:00+00:00,BTC/USD,window360_strategy,89395.459,89395.459,89395.459,89395.459,0
2026-01-22T18:11:00+00:00,BTC/USD,window360_strategy,89474.2,89474.2,89474.2,89474.2,0
2026-01-22T18:12:00+00:00,BTC/USD,window360_strategy,89414.5595,89414.5595,89414.5595,89414.5595,0
2026-01-22T18:13:00+00:00,BTC/USD,window360_strategy,89434.6085,89434.6085,89434.6085,89434.6085,0
2026-01-22T18:14:00+00:00,BTC/USD,window360_strategy,89396.575,89396.575,89396.575,89396.575,0
2026-01-22T18:15:00+00:00,BTC/USD,window360_strategy,89496.275,89496.275,89496.275,89496.275,0
2026-01-22T18:16:00+00:00,BTC/USD,window360_strategy,89573.804,89573.804,89573.804,89573.804,0
2026-01-22T18:17:00+00:00,BTC/USD,window360_strategy,89588.042,89588.042,89588.042,89588.042,0
2026-01-22T18:18:00+00:00,BTC/USD,window360_strategy,89560.2,89560.2,89560.2,89560.2,0
2026-01-22T18:19:00+00:00,BTC/USD,window360_strategy,89628.5505,89628.5505,89628.5505,89628.5505,0
2026-01-22T18:20:00+00:00,BTC/USD,window360_strategy,89628.835,89628.835,89628.835,89628.835,0
2026-01-22T18:21:00+00:00,BTC/USD,window360_strategy,89680.68,89680.68,89680.68,89680.68,0
2026-01-22T18:22:00+00:00,BTC/USD,window360_strategy,89669.4595,89669.4595,89669.4595,89669.4595,0
2026-01-22T18:23:00+00:00,BTC/USD,window360_strategy,89532.958,89532.958,89532.958,89532.958,0
2026-01-22T18:24:00+00:00,BTC/USD,window360_strategy,89519.117,89519.117,89519.117,89519.117,0
