timestamp,equity,cash,exposure,strategy
2026-01-24T02:18:35.690695+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:18:46.184192+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:18:56.455200+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:19:06.659240+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:19:16.885835+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:19:27.113877+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:19:37.752274+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:19:47.986227+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:19:58.177280+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:20:08.459402+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:20:18.739558+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:20:28.969010+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:20:39.192430+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:20:49.405543+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:20:59.645706+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:21:09.866440+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:21:20.091260+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:21:30.295903+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:21:40.620349+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:21:50.872565+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:22:01.077252+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:22:11.256927+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:22:21.488282+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:22:31.751544+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:22:41.945005+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:22:52.652381+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:23:02.865715+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:23:13.104829+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:23:23.459005+00:00,100000.0,100000.0,0.0,window360_strategy
2026-01-24T02:23:33.657218+00:00,100000.0,100000.0,0.0,window360_strategy
