Label,Set,Span,Days,AnnRet,Sharpe,MaxDD,MAR,WinRateM
V2 (T 14:46 → T+1 14:56),Train,2024-08-27 → 2025-03-05,123,1.1697644718043696,2.705971462465628,-0.14318722368395054,8.16947519274714,0.75
V2 (T 14:46 → T+1 14:56),Test,2025-03-06 → 2025-05-23,53,0.8430680884099035,3.37638644791085,-0.0600506069572142,14.039293374846084,0.6666666666666666
V2 (T 14:46 → T+1 14:56),Full,2024-08-27 → 2025-05-23,176,1.06571638361113,2.7905139248073265,-0.14318722368395054,7.442817565646978,0.7
"Buy&Hold (EW, same window)",Train,2024-08-27 → 2025-03-05,123,0.6984332875837134,2.083144722641045,-0.09787785513207337,7.135764128068285,0.625
"Buy&Hold (EW, same window)",Test,2025-03-06 → 2025-05-23,53,0.3129907422440197,1.5681114771463667,-0.08767397450786807,3.569939015550517,1.0
"Buy&Hold (EW, same window)",Full,2024-08-27 → 2025-05-23,176,0.571757038254215,1.9399660759835864,-0.09787785513207337,5.841536244155572,0.8
