timestamp,equity,BTC-USDT,ETH-USDT,SOL-USDT,XRP-USDT,DOGE-USDT,ADA-USDT,POL-USDT
2025-11-26T03:00:00+00:00,0.999682,-0.0610,0.0000,-0.1667,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T04:00:00+00:00,0.999716,-0.0606,0.0000,-0.1667,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T05:00:00+00:00,0.999484,-0.0604,0.0000,-0.1667,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T06:00:00+00:00,0.999425,-0.0612,0.0000,-0.1667,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T07:00:00+00:00,0.999341,-0.0609,0.0000,-0.1667,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T08:00:00+00:00,0.999666,-0.0609,0.0000,-0.1667,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T09:00:00+00:00,0.999489,-0.0606,0.0000,-0.1667,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T10:00:00+00:00,0.999388,-0.0608,0.0000,-0.1667,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T11:00:00+00:00,0.998708,-0.0609,0.0000,-0.1667,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T12:00:00+00:00,0.998678,-0.0607,0.0000,-0.1667,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T13:00:00+00:00,0.998597,-0.0662,-0.1667,0.0000,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T14:00:00+00:00,0.998100,-0.0650,-0.1667,0.0000,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T15:00:00+00:00,0.997559,-0.0654,-0.1667,0.0000,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T16:00:00+00:00,0.998101,-0.0657,-0.1667,0.0000,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T17:00:00+00:00,0.998397,-0.0688,-0.1667,0.0000,-0.1667,-0.1667,0.5000,0.0000
2025-11-26T18:00:00+00:00,0.998203,-0.0404,-0.1667,0.0000,-0.1667,-0.1667,0.2500,0.2500
2025-11-26T19:00:00+00:00,0.998681,-0.0345,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-26T20:00:00+00:00,0.998968,-0.0349,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-26T21:00:00+00:00,0.998501,-0.0352,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-26T22:00:00+00:00,0.998149,-0.0353,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-26T23:00:00+00:00,0.998458,-0.0348,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T00:00:00+00:00,0.997362,-0.0349,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T01:00:00+00:00,0.997375,-0.0348,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
