period,ann_return,sharpe,max_dd,mar,ann_vol,cum_return,max_dd_monthly,win_rate_monthly,length_days,bars,avg_turnover,median_turnover,avg_trades_per_day,median_trades_per_day,avg_leverage
train,2.2766649642591,6.968749539591719,-0.10778419779356063,21.12243734113606,0.1727183124303332,1.9721297195273237,-0.008208376285782304,0.8181818181818182,335,16033,0.3969104234786128,0.33598910207665217,47.20597014925373,48.0,0.3827422504612486
test,8.305542052433225,11.405795823018169,-0.035977539151564764,230.85353385188364,0.1978654710944086,10.454618428274793,0.0,1.0,399,19104,0.34419100374757733,0.30935939277476876,47.175438596491226,48.0,0.3299092451483779
full,4.7928066517028,9.420830996593347,-0.10778419779356063,44.466691312974056,0.18879011930659917,33.044611856521044,-0.006189159440302516,0.92,733,35137,0.3682468553156592,0.320521425790477,47.2537517053206,48.0,0.35401692577510346
