timestamp,from_weights,to_weights,turnover,cost_fraction,equity_after_cost
2025-11-29T04:00:00+00:00,{"BTC-USDT": 0.0, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": 0.0, "DOGE-USDT": 0.0, "ADA-USDT": 0.0, "LINK-USDT": 0.0, "AVAX-USDT": 0.0, "POL-USDT": 0.0, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.0, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},{"BTC-USDT": -0.11590446146705963, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": 0.0, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": -0.16666666666666666},1.115904,0.000335,0.999665
2025-11-29T05:00:00+00:00,{"BTC-USDT": -0.11590446146705963, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": 0.0, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": -0.16666666666666666},{"BTC-USDT": -0.06855461517779188, "ETH-USDT": -0.16666666666666666, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": 0.0, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},0.380683,0.000114,0.999493
2025-11-29T06:00:00+00:00,{"BTC-USDT": -0.06855461517779188, "ETH-USDT": -0.16666666666666666, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": 0.0, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},{"BTC-USDT": -0.06885420284148364, "ETH-USDT": -0.16666666666666666, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": 0.0, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},0.000300,0.000000,0.999429
2025-11-29T07:00:00+00:00,{"BTC-USDT": -0.06885420284148364, "ETH-USDT": -0.16666666666666666, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": 0.0, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},{"BTC-USDT": -0.04861636090375268, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": -0.16666666666666666, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},0.353571,0.000106,0.999472
2025-11-29T08:00:00+00:00,{"BTC-USDT": -0.04861636090375268, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": -0.16666666666666666, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},{"BTC-USDT": -0.04838130854257641, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": -0.16666666666666666, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},0.000235,0.000000,0.999910
2025-11-29T09:00:00+00:00,{"BTC-USDT": -0.04838130854257641, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": -0.16666666666666666, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},{"BTC-USDT": -0.0844716952274435, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.25, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": 0.0, "AVAX-USDT": -0.25, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},0.369424,0.000111,1.000004
2025-11-29T10:00:00+00:00,{"BTC-USDT": -0.0844716952274435, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.25, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": 0.0, "AVAX-USDT": -0.25, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},{"BTC-USDT": -0.04819804647814452, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": -0.16666666666666666, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},0.369607,0.000111,0.999710
2025-11-29T11:00:00+00:00,{"BTC-USDT": -0.04819804647814452, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": -0.16666666666666666, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},{"BTC-USDT": -0.047974151490682515, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": -0.16666666666666666, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},0.000224,0.000000,0.999546
2025-11-29T12:00:00+00:00,{"BTC-USDT": -0.047974151490682515, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": -0.16666666666666666, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},{"BTC-USDT": -0.04775947862507765, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": -0.16666666666666666, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},0.000215,0.000000,0.998904
2025-11-29T13:00:00+00:00,{"BTC-USDT": -0.04775947862507765, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": -0.16666666666666666, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},{"BTC-USDT": -0.04780592260276678, "ETH-USDT": 0.0, "BNB-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": 0.0, "ADA-USDT": 0.16666666666666666, "LINK-USDT": -0.16666666666666666, "AVAX-USDT": -0.16666666666666666, "POL-USDT": 0.16666666666666666, "DOT-USDT": 0.0, "ATOM-USDT": 0.0, "APT-USDT": 0.16666666666666666, "ARB-USDT": 0.0, "OP-USDT": 0.0, "SUI-USDT": 0.0, "NEAR-USDT": 0.0, "ETC-USDT": 0.0},0.000046,0.000000,0.998985
