timestamp,equity,BTC-USDT,ETH-USDT,SOL-USDT,XRP-USDT,DOGE-USDT,ADA-USDT,POL-USDT
2025-11-27T02:00:00+00:00,0.999690,-0.0344,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T03:00:00+00:00,1.000022,-0.0344,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T04:00:00+00:00,0.999967,-0.0345,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T05:00:00+00:00,0.999808,-0.0344,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T06:00:00+00:00,0.999574,-0.0338,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T07:00:00+00:00,0.999449,-0.0344,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T08:00:00+00:00,1.000535,-0.0339,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T09:00:00+00:00,1.000644,-0.0348,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T10:00:00+00:00,1.000692,-0.0390,0.0000,0.0000,-0.2500,-0.2500,0.2500,0.2500
2025-11-27T11:00:00+00:00,1.000675,-0.0388,0.0000,0.0000,-0.2500,-0.2500,0.2500,0.2500
2025-11-27T12:00:00+00:00,1.000641,-0.0385,0.0000,0.0000,-0.2500,-0.2500,0.2500,0.2500
2025-11-27T13:00:00+00:00,1.000468,-0.0381,0.0000,0.0000,-0.2500,-0.2500,0.2500,0.2500
2025-11-27T14:00:00+00:00,1.000297,-0.0332,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T15:00:00+00:00,1.000768,-0.0325,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T16:00:00+00:00,1.000720,-0.0326,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T17:00:00+00:00,1.000723,-0.0359,0.0000,0.0000,-0.2500,-0.2500,0.2500,0.2500
2025-11-27T18:00:00+00:00,1.000254,-0.0356,0.0000,0.0000,-0.2500,-0.2500,0.2500,0.2500
2025-11-27T19:00:00+00:00,1.000897,-0.0356,0.0000,0.0000,-0.2500,-0.2500,0.2500,0.2500
2025-11-27T20:00:00+00:00,1.000534,-0.0351,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T21:00:00+00:00,1.000484,-0.0343,0.0000,-0.1667,-0.1667,-0.1667,0.2500,0.2500
2025-11-27T22:00:00+00:00,1.000507,-0.0387,0.0000,0.0000,-0.2500,-0.2500,0.2500,0.2500
2025-11-27T23:00:00+00:00,1.000864,-0.0389,0.0000,0.0000,-0.2500,-0.2500,0.2500,0.2500
2025-11-28T00:00:00+00:00,1.000783,-0.0385,0.0000,0.0000,-0.2500,-0.2500,0.2500,0.2500
2025-11-28T01:00:00+00:00,1.001285,-0.0390,0.0000,0.0000,-0.2500,-0.2500,0.2500,0.2500
2025-11-28T02:00:00+00:00,1.000927,-0.0618,0.0000,0.0000,-0.5000,0.0000,0.2500,0.2500
2025-11-28T03:00:00+00:00,1.000826,-0.0616,0.0000,0.0000,-0.5000,0.0000,0.2500,0.2500
2025-11-28T04:00:00+00:00,1.000882,-0.0610,0.0000,0.0000,-0.5000,0.0000,0.2500,0.2500
2025-11-28T05:00:00+00:00,1.000694,-0.0605,0.0000,0.0000,-0.5000,0.0000,0.2500,0.2500
2025-11-28T06:00:00+00:00,0.999273,-0.0592,0.0000,0.0000,-0.5000,0.0000,0.2500,0.2500
2025-11-28T07:00:00+00:00,0.999025,-0.0589,0.0000,0.0000,-0.5000,0.0000,0.2500,0.2500
2025-11-28T08:00:00+00:00,0.999928,-0.0581,0.0000,0.0000,-0.5000,0.0000,0.2500,0.2500
2025-11-28T09:00:00+00:00,1.000011,-0.0374,-0.1667,0.0000,-0.1667,-0.1667,0.2500,0.2500
2025-11-28T10:00:00+00:00,0.999992,-0.0592,0.0000,0.0000,-0.5000,0.0000,0.2500,0.2500
2025-11-28T11:00:00+00:00,0.999904,-0.0593,0.0000,0.0000,-0.5000,0.0000,0.2500,0.2500
2025-11-28T12:00:00+00:00,1.000056,-0.0600,0.0000,0.0000,-0.5000,0.0000,0.2500,0.2500
2025-11-28T13:00:00+00:00,1.000183,-0.0597,0.0000,0.0000,-0.5000,0.0000,0.2500,0.2500
2025-11-28T14:00:00+00:00,1.000611,-0.0585,0.0000,0.0000,-0.5000,0.0000,0.2500,0.2500
2025-11-28T15:00:00+00:00,0.998377,-0.0585,0.0000,0.0000,-0.5000,0.0000,0.2500,0.2500
