,Strategy(Net),EW B&H (No-Rebal),BTC B&H
Annualized_Return,1.0733,1.4123,1.2965
Sharpe,3.2112,2.0392,2.6711
Max_Drawdown,-0.1825,-0.4713,-0.2659
MAR,5.8825,2.9964,4.8764
Monthly_Win_Rate,0.7778,0.5556,0.7778
Bars,6734.0,6734.0,6734.0
