,Strategy(Net),EW B&H (No-Rebal),BTC B&H
Annualized_Return,1.4841,0.7545,0.9695
Sharpe,4.4243,1.0758,1.9894
Max_Drawdown,-0.3087,-0.5545,-0.3203
MAR,4.8082,1.3607,3.0265
Monthly_Win_Rate,0.7273,0.5455,0.6818
Bars,15519.0,15519.0,15519.0
