Label,Set,Span,Days,AnnRet,Sharpe,MaxDD,MAR,WinRateM
V1 (T 15:00 → T+1 14:56),Train,2024-08-27 → 2025-03-05,123,0.8362005168353652,2.1014724229088237,-0.13664448708480592,6.119533503875591,0.625
V1 (T 15:00 → T+1 14:56),Test,2025-03-06 → 2025-05-23,53,0.3262103686806397,1.514279671093711,-0.07092585070496515,4.599315558971552,0.6666666666666666
V1 (T 15:00 → T+1 14:56),Full,2024-08-27 → 2025-05-23,176,0.6648197621350136,1.9402760824395813,-0.13664448708480592,4.865324436560732,0.7
"Buy&Hold (EW, same window)",Train,2024-08-27 → 2025-03-05,123,0.5471269776040741,1.7802629435247619,-0.1012946988778547,5.401338704445159,0.625
"Buy&Hold (EW, same window)",Test,2025-03-06 → 2025-05-23,53,0.132758629891637,0.7935330470698658,-0.09092222961702989,1.460133901806243,0.6666666666666666
"Buy&Hold (EW, same window)",Full,2024-08-27 → 2025-05-23,176,0.4084957294883178,1.5364370856949001,-0.12032378179871173,3.3949708310505535,0.6
