trade_date,symbol,entry_day,entry_time,entry_px,exit_day,exit_time,exit_px,ret
2024-09-09,600276.XSHG,2024-09-06,15:00:00,44.24,2024-09-09,14:56:00,44.31,0.0009822784810126668
2024-09-09,600000.XSHG,2024-09-06,15:00:00,8.18,2024-09-09,14:56:00,8.13,-0.0067124694376526454
2024-09-09,601318.XSHG,2024-09-06,15:00:00,41.36,2024-09-09,14:56:00,40.73,-0.015832108317214776
2024-09-10,600340.XSHG,2024-09-09,15:00:00,1.05,2024-09-10,14:56:00,1.04,-0.01012380952380949
2024-09-10,601166.XSHG,2024-09-09,15:00:00,15.26,2024-09-10,14:56:00,15.36,0.005953079947575258
2024-09-10,000001.XSHE,2024-09-09,15:00:00,9.35,2024-09-10,14:56:00,9.4,0.004747593582887722
2024-09-10,601318.XSHG,2024-09-09,15:00:00,40.81,2024-09-10,14:56:00,40.74,-0.002315265866209292
2024-09-10,600000.XSHG,2024-09-09,15:00:00,8.13,2024-09-10,14:56:00,8.25,0.014160147601475815
2024-09-11,600030.XSHG,2024-09-10,15:00:00,18.57,2024-09-11,14:56:00,18.71,0.006939041464728058
2024-09-11,000333.XSHE,2024-09-10,15:00:00,57.95,2024-09-11,14:56:00,58.83,0.014585504745470091
2024-09-11,601318.XSHG,2024-09-10,15:00:00,40.79,2024-09-11,14:56:00,40.67,-0.0035418975239028365
2024-09-11,512010.XSHG,2024-09-10,15:00:00,0.314,2024-09-11,14:56:00,0.316,0.0057694267515923554
2024-09-11,512690.XSHG,2024-09-10,15:00:00,0.516,2024-09-11,14:56:00,0.513,-0.006413953488372103
2024-09-12,600276.XSHG,2024-09-11,15:00:00,45.27,2024-09-12,14:56:00,44.83,-0.01031946101170762
2024-09-12,000002.XSHE,2024-09-11,15:00:00,6.31,2024-09-12,14:56:00,6.3,-0.0021847860538826806
2024-09-12,159928.XSHE,2024-09-11,15:00:00,0.69,2024-09-12,14:56:00,0.677,-0.019440579710144745
2024-09-12,600837.XSHG,2024-09-11,15:00:00,8.75,2024-09-12,14:56:00,8.75,-0.0006
